종목코드,종목명,시가총액
950,전방,61152000000
155660,DSR,60960000000
93240,형지엘리트,60925341033
21050,서원,60862424380
2140,고려산업,60852197000
123700,SJM,60781077710
4920,씨아이테크,60685191136
41650,상신브레이크,60656846250
28513K,SK케미칼우,59866640700
14990,인디에프,59339266050
25560,미래산업,59305512420
23960,에쓰씨엔지니어링,59069869175
1620,케이비아이동국실업,58762720368
4770,써니전자,57806109064
10770,평화홀딩스,57258699390
72130,유엔젤,57126861220
11300,성안머티리얼스,57111686725
1550,조비,57062706610
890,보해양조,56491132761
481850,신한글로벌액티브리츠,56129664224
25530,SJM홀딩스,55853189920
4410,서울식품,55795044448
3080,SB성보,55655600000
9835,한화솔루션우,55627538400
11230,삼화전자,55580776500
9190,대양금속,55545715750
69730,DSR제강,55152000000
2920,유성기업,55008700000
6370,대구백화점,54865567770
90080,평화산업,54133627374
9320,아진전자부품,54081847690
7610,선도전기,54000000000
14910,성문전자,53794059075
2410,범양건영,53173451700
51630,진양화학,53106000000
7815,코리아써우,52593600600
2880,대유에이텍,52340100405
6125,SK디스커버리우,52235709000
4870,티웨이홀딩스,52168370734
11420,갤럭시아에스엠,51572933568
118000,메타케어,51189654472
1465,BYC우,50830860000
3475,유안타증권우,50551309980
12280,영화금속,50166234355
23350,한국종합기술,50096250000
6980,우성,49996200000
357430,마스턴프리미어리츠,49754155717
25750,한솔홈데코,49386436337
8870,금비,49300000000
27740,마니커,48332044508
6740,블루산업개발,48030420684
12160,영흥,46906702236
20760,일진디스플,46465394382
3465,유화증권우,46399908375
37550K,DL이앤씨우,46294081500
8250,이건산업,44248645400
145270,케이탑리츠,44167851306
109070,주성코퍼레이션,43304388600
19175,신풍제약우,43054000000
90370,메타랩스,42836065080
465770,STX그린로지스,41735406240
8420,문배철강,41622115150
19490,엑시큐어하이트론,41349858070
760,이화산업,40852000000
71950,코아스,40223608905
26940,부국철강,40000000000
49800,우진플라임,39980000000
2360,SH에너지화학,39785875340
134790,시디즈,39760000000
9810,플레이그램,39642637500
45226K,한화갤러리아우,39529836700
5030,부산주공,38288532168
24890,대원화성,37907970688
3535,한화투자증권우,37872000000
74610,이엔플러스,37494481920
215,DL우,36673001250
2870,신풍,36531841500
5360,모나미,35885985993
40,KR모터스,35672950992
23150,MH에탄올,34752857460
33637K,솔루스첨단소재1우,34493882640
1070,대한방직,34132000000
14130,한익스프레스,33900000000
6570,대림통상,33647250000
13000,세우글로벌,33584886270
3680,한성기업,33158810100
446070,유니드비티플러스,33106990800
5820,원림,32815011600
33250,체시스,32800000000
145210,다이나믹디자인,32648944364
2690,동일제강,32622678520
4365,세방우,32428507500
11090,에넥스,31735578089
33626L,두산퓨얼셀2우B,31356150000
10400,우진아이엔에스,30564220000
